model,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
naive_bayes,0.9604452577005185,0.9873511445671623,0.9361179361179361,0.9610522206540344,0.9962063591650746,0.9960626036599235,15491,205,1092,16002
logistic_regression,0.9881671241232083,0.9869418211495861,0.9904059904059904,0.9886708712917542,0.9990150626618518,0.999032466570729,15472,224,164,16930
linear_svm,0.9950289722476364,0.9946824051890376,0.9957879957879958,0.9952348934428625,0.9997022519958301,0.9996882397916599,15605,91,72,17022
